"","Ticker","Debt","Rev_Growth"
"1","A",1799,9.88
"2","AAL",22274,5.75
"3","AAP",1045.4,0.98
"4","AAPL",93735,15.76
"5","ABBV",36487,18.02
"6","ABC",4510.83,9.66
"7","ABMD",0,36.78
"8","ABT",19284,20.96
"9","ACN",19.9,11.98
"10","ADBE",4124.8,23.67
"11","ADI",6265.67,21.41
"12","ADM",6730,5.23
"13","ADP",2002.4,8.21
"14","ADS",16773.7,2.07
"15","ADSK",1587.8,20.42
"16","AEE",7614,2.33
"17","AEP",20869.8,5.2
"18","AES",18088,-5.9
"19","AFL",5279,-0.23
"20","AGN",22231.8,3.58
"21","AIG",34364,-4.41
"22","AIV",3646.79,-0.24
"23","AIZ",2005.4,14.37
"24","AJG",3141.2,12.35
"25","AKAM",864.68,8.9
"26","ALB",1411.6,13.75
"27","ALGN",0,37.8
"28","ALK",1684,9.18
"29","ALL",6450,4.01
"30","ALLE",1417.7,12.64
"31","ALXN",2894.5,12.7
"32","AMAT",5309,18.68
"33","AMD",1167,30.23
"34","AME",1832.55,14.23
"35","AMG",1841.4,7.4
"36","AMGN",29350,1.33
"37","AMP",4240,7.37
"38","AMT",18422.9,7.9
"39","AMZN",39884,37.11
"40","ANET",36.04,34.34
"41","ANSS",0,11
"42","ANTM",17300,2.63
"43","AON",5665,12.01
"44","AOS",193.3,7.44
"45","APA",8053,27.34
"46","APC",15755,22.27
"47","APD",3351.7,9.07
"48","APH",2468.3,17.9
"49","APTV",4084,12.68
"50","ARE",5684,41.68
"51","ARNC",6315,9.44
"52","ATVI",2670,2.49
"53","AVB",7533.23,3.44
"54","AVGO",17493,18.21
"55","AVY",1295.3,10.83
"56","AWK",7577,2.19
"57","AXP",58000,11.01
"58","AZO",5156.04,2.4
"59","BA",10487,6.09
"60","BAC",229340,10.85
"61","BAX",3485,6.02
"62","BBT",23709,6.91
"63","BBY",1280,7.87
"64","BDX",18894,32.17
"65","BEN",695.9,-1.14
"66","BF.B",2288,4.68
"67","BHF",3966,54.66
"68","BHGE",6293,0
"69","BIIB",5931.1,11.78
"70","BK",29163,15.62
"71","BKNG",8703.9,15.47
"72","BLK",5035,4.4
"73","BLL",6523,7.61
"74","BMY",5687,7.13
"75","BR",1143.8,4.93
"76","BRK.B",94123,6.06
"77","BSX",4806,9.5
"78","BWA",2085.6,11.31
"79","BXP",10889.7,3.09
"80","C",231999,9.74
"81","CAG",11545.4,4.58
"82","CAH",7999,6.74
"83","CAT",25441,26.43
"84","CB",12457,2.17
"85","CBOE",915.1,46.83
"86","CBRE",1760,14.33
"87","CBS",9465,8.44
"88","CCI",16313,26.32
"89","CCL",7898,7.83
"90","CDNS",345.11,8.35
"91","CE",3196,20.5
"92","CELG",19742,17.81
"93","CERN",438.78,4.49
"94","CF",4697,12.78
"95","CFG",14433,13.94
"96","CHD",1803.5,12.79
"97","CHRW",1341.3,14.86
"98","CHTR",69305,4.24
"99","CI",25041,8.52
"100","CINF",830,8.43
"101","CL",6519,2.24
"102","CLX",2285,2.6
"103","CMA",6463,9.3
"104","CMCSA",69711,5.47
"105","CME",3419.6,8.62
"106","CMG",0,7.93
"107","CMI",1563,18.76
"108","CMS",8944,5.85
"109","CNC",6379,19.18
"110","CNP",7252,12.52
"111","COF",51821,7.07
"112","COG",1218.85,11.44
"113","COO",1985.7,18.41
"114","COP",14902,25.45
"115","COST",6480,9.12
"116","COTY",7789.7,4.34
"117","CPB",8001,17.44
"118","CPRI",504.6,12.38
"119","CPRT",398.64,21.48
"120","CRM",3369,25.69
"121","CSCO",18323,5.18
"122","CSX",14739,7.38
"123","CTAS",2536.41,11.18
"124","CTL",35749,38.3
"125","CTSH",624,9.55
"126","CTXS",741.55,6.06
"127","CVS",60747,3.13
"128","CVX",29989,24.53
"129","CXO",4143,65.8
"130","D",32188,7.77
"131","DAL",8270,8.02
"132","DE",27237.4,27.14
"133","DFS",26998,11.29
"134","DG",2902.44,7.51
"135","DGX",3394,3.11
"136","DHI",2103.5,14.02
"137","DHR",10558,10.02
"138","DIS",17226,7.79
"139","DISCA",15829,43.81
"140","DISH",13790.11,-5.88
"141","DLR",9179.87,30.13
"142","DLTR",5043.8,6.78
"143","DOV",2981.92,5.17
"144","DRE",2634.18,13
"145","DRI",927.1,8.73
"146","DTE",13620,12.47
"147","DUK",50507,3.65
"148","DVA",8440.67,-3.78
"149","DVN",5791,18.3
"150","DWDP",27293,55.03
"151","DXC",5409,57.12
"152","EA",993,1.59
"153","EBAY",7661,9.02
"154","ECL",6334.8,7.53
"155","ED",15480,4.84
"156","EFX",2629.4,2.72
"157","EIX",14629,7.38
"158","EL",3361,13.96
"159","EMN",5898,8.13
"160","EMR",3137,14.05
"161","EOG",5171.95,57.33
"162","EQIX",11032.52,20.7
"163","EQR",8324.43,4.29
"164","ES",12734.87,8.85
"165","ESS",5633.67,7.69
"166","ETFC",1958,24.31
"167","ETN",6737,6.51
