"","X","Symbol","Name","Sector","Price","Price.Earnings","Dividend.Yield","Earnings.Share","X52.Week.Low","X52.Week.High","Market.Cap","EBITDA.x","Price.Sales","Price.Book","SEC.Filings","Debt","Rev_Growth","EBITDA.y","Leverage","Beta"
"1",1,"A","Agilent Technologies Inc","Health Care",65.05,27.5,0.88,2.1,75,49.23,21984606918,1.09e+09,6.493563,4.56,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=A",1799,9.88,1.09e+09,1.64,0.997152766167764
"2",2,"AAL","American Airlines Group","Industrials",48.6,9.9,0.78,3.91,59.08,39.21,24594852352,5.76e+09,0.58022565,6.03,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AAL",22274,5.75,5.76e+09,3.87,1.51959492993237
"3",3,"AAP","Advance Auto Parts","Consumer Discretionary",109.63,19.5,0.22,6.19,169.55,78.81,8123611867,853941000,1.1301061,2.51,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AAP",1045.4,0.98,853941000,1.22,0.505398430654923
"4",4,"AAPL","Apple Inc.","Information Technology",155.15,16.9,1.58,9.2,180.1,131.12,8.09508e+11,7.94e+10,3.4586093,5.66,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AAPL",93735,15.76,7.94e+10,1.18,1.63988628654317
"5",5,"ABBV","AbbVie Inc.","Health Care",108.48,19.4,2.5,3.29,125.86,60.05,1.81386e+11,1.03e+10,6.291571,26.14,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ABBV",36487,18.02,1.03e+10,3.54,0.812999168571875
"6",6,"ABC","AmerisourceBergen Corp","Health Care",91.55,15.5,1.61,1.64,106.27,71.9,20587704101,991884000,0.17396984,9.73,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ABC",4510.83,9.66,991884000,4.55,0.637588720262414
"7",7,"ABT","Abbott Laboratories","Health Care",56.27,22.5,1.91,0.26,64.6,42.28,1.02121e+11,5.74e+09,3.7404804,3.19,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ABT",19284,20.96,5.74e+09,3.36,1.1321844426159
"8",8,"ACN","Accenture plc","Information Technology",150.51,25.5,1.71,5.44,162.6,114.82,98765855553,5643228000,2.604117,10.62,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ACN",19.9,11.98,5643228000,0,1.02463401748222
"9",9,"ADBE","Adobe Systems Inc","Information Technology",185.16,52.3,0,3.39,204.45,114.451,94550214268,2538040000,13.092818,11.06,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADBE",4124.8,23.67,2538040000,1.63,1.7256310278053
"10",10,"ADI","Analog Devices, Inc.","Information Technology",82.68,17.7,2.11,2.11,98.38,74.65,31811578855,1663384000,8.00391,3.13,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADI",6265.67,21.41,1663384000,3.77,1.12307668350105
